nom_barri,Neighborhood_lat,Neighborhood_long
el Raval,41.3795176,2.1683678
el Barri Gòtic,41.3833947,2.1769119
la Barceloneta,41.3806533,2.1899274
"Sant Pere, Santa Caterina i la Ribera",41.3848426,2.1828745
el Fort Pienc,41.3959246,2.1823245
la Sagrada Família,41.4044407,2.1748611
la Dreta de l'Eixample,41.3950373,2.1672069
l'Antiga Esquerra de l'Eixample,41.39,2.155
la Nova Esquerra de l'Eixample,41.383389,2.149
Sant Antoni,37.6063923,15.1268948
el Poble-sec,41.3749795,2.1605721
la Marina del Prat Vermell,41.3538419,2.1423184
la Marina de Port,41.3602964,2.1375842
la Font de la Guatlla,41.3707824,2.1446756
Hostafrancs,41.3752539,2.1433476
la Bordeta,41.3691417,2.1373733
Sants - Badal,41.375466,2.1277096
Sants,41.3753288,2.1349117
les Corts,41.385244,2.1328626
la Maternitat i Sant Ramon,41.3819857,2.1256083
Pedralbes,41.3901401,2.112218
"Vallvidrera, el Tibidabo i les Planes",41.42738195,2.091489443045365
Sarrià,41.399373,2.1215125
les Tres Torres,41.3976108,2.1311837
Sant Gervasi - la Bonanova,41.4059829,2.1334046
Sant Gervasi - Galvany,41.397795450000004,2.143382596198851
el Putxet i el Farró,41.4058141,2.1391359
Vallcarca i els Penitents,41.4155257,2.1422431
el Coll,40.7036672,0.0341801
la Salut,45.6587663,12.801979
la Vila de Gràcia,41.4031783,2.1571662
el Camp d'en Grassot i Gràcia Nova,41.4045889,2.1667806
el Baix Guinardó,41.4114374,2.1686512
Can Baró,41.4160925,2.1624018
el Guinardó,41.4177335,2.1736316
la Font d'en Fargues,41.425788,2.1659152
el Carmel,41.4256037,2.1549579
la Teixonera,41.423173,2.1459698
Sant Genís dels Agudells,41.4264567,2.1374905
Montbau,41.4295504,2.1445379
la Vall d'Hebron,41.4303788,2.1486244
la Clota,45.1182285,-0.1473758
Horta,38.5368032,-28.630109
Vilapicina i la Torre Llobeta,41.4300186,2.1760694
Porta,42.5260507,1.8256362
el Turó de la Peira,41.4323672,2.1690681
Can Peguera,41.4348568,2.1657848
la Guineueta,41.4403026,2.1704023
Canyelles,41.2858273,1.7222743
les Roquetes,41.4477984,2.1762713
Verdun,49.1589278,5.3867277
la Prosperitat,41.4423335,2.1794381
la Trinitat Nova,41.4497136,2.1838414
Torre Baró,41.4580108,2.1839863
Ciutat Meridiana,41.4609185,2.1745668
Vallbona,41.5194769,1.7082922
la Trinitat Vella,41.4501759,2.1913441
Baró de Viver,41.4499653,2.1995304
el Bon Pastor,41.4359841,2.2051289
Sant Andreu,41.43743905,2.196859449748228
la Sagrera,41.4212221,2.186586
el Congrés i els Indians,41.423784,2.180820595215633
Navas,46.1756,3.1107
el Camp de l'Arpa del Clot,41.4107542,2.1828156
el Clot,41.4101394,2.1869158
el Parc i la Llacuna del Poblenou,41.4007334,2.191342
la Vila Olímpica del Poblenou,41.3898682,2.1968459
el Poblenou,41.400527,2.2017292
Diagonal Mar i el Front Marítim del Poblenou,41.4052285,2.2133522
el Besòs i el Maresme,41.4149787,2.2138765
Provençals del Poblenou,41.4119484,2.2041249
Sant Martí de Provençals,41.4165186,2.1989683
la Verneda i la Pau,41.4232198,2.202940152045822
