Barrios,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
el Raval,2614,2404,2775,3251,4029,4034,4591,3587,3409,3374
el Barri Gòtic,3811,3791,4236,4813,4884,4660,3811,4717,4351,5186
la Barceloneta,4212,4168,4043,4683,5165,4815,4849,4763,4672,4732
"Sant Pere, Santa Caterina i la Ribera",3534,3682,3827,4501,5152,4689,4772,4837,4778,4705
el Fort Pienc,3038,3022,3228,4012,4107,4500,4250,4091,4428,4644
la Sagrada Família,3029,2959,3157,3746,4209,4202,4173,4088,4060,4279
la Dreta de l'Eixample,4296,4528,4961,5949,6332,6128,5514,5395,5666,6267
l'Antiga Esquerra de l'Eixample,3521,3551,3999,4747,5091,5081,5197,5190,5234,5361
la Nova Esquerra de l'Eixample,3158,3292,3340,4085,4465,4797,4634,4312,4238,4389
Sant Antoni,2926,3000,3369,3817,4591,4530,4412,4219,4170,4231
el Poble-sec,2495,2518,2815,2771,3936,4083,3911,3716,3670,3599
la Marina del Prat Vermell,0,0,0,0,0,0,0,0,0,0
la Marina de Port,2152,2080,2174,2348,2723,2879,2819,2861,2588,2778
la Font de la Guatlla,0,2580,2582,0,3510,3457,3893,3856,3281,3673
Hostafrancs,0,2719,2742,2970,3912,3398,3915,3467,3493,3391
la Bordeta,0,2323,2361,2829,3171,3153,3114,3128,3255,3271
Sants - Badal,2575,2392,2607,3127,3469,3429,3183,3239,3265,3361
Sants,2633,2511,2816,3181,3666,3556,3642,3705,3621,3687
les Corts,3597,3712,3825,4469,4821,4650,4469,4654,4563,4690
la Maternitat i Sant Ramon,3362,3296,3281,3875,4339,4057,4043,3918,3881,4305
Pedralbes,4914,5185,5436,5689,6340,6306,6197,6460,5976,6406
"Vallvidrera, el Tibidabo i les Planes",0,0,0,0,0,0,3531,3579,4263,3888
Sarrià,4384,4472,4704,5824,6042,5983,5743,5558,5645,5925
les Tres Torres,4509,4742,5145,4956,5689,5607,6460,5749,6024,5882
Sant Gervasi - la Bonanova,3866,3883,4235,4926,5029,5424,5319,5115,5428,5364
Sant Gervasi - Galvany,3899,4188,4484,4797,5306,5524,5560,5326,5371,5498
el Putxet i el Farró,3298,3256,3465,3956,4289,4505,4541,4532,4344,4493
Vallcarca i els Penitents,3109,2969,2862,3363,3541,3904,3609,3845,4096,4212
el Coll,0,2317,2252,2624,0,0,3236,3420,2881,2864
la Salut,2890,2682,2825,3204,3561,3973,4021,3547,3885,4233
la Vila de Gràcia,3264,3308,3655,4170,4426,4791,4526,4343,4494,4882
el Camp d'en Grassot i Gràcia Nova,3145,3068,3219,3759,4391,4376,4133,4399,4149,4390
el Baix Guinardó,2608,2521,2841,3087,3493,3574,3798,3611,3867,4008
Can Baró,0,2368,2598,2755,2859,3005,3124,3339,3148,2913
el Guinardó,2474,2476,2506,2587,3164,3468,3278,3304,3204,3324
la Font d'en Fargues,0,2460,0,2652,3206,0,3236,3705,3370,3536
el Carmel,1730,1732,1693,2077,2242,2382,2768,2532,2448,2495
la Teixonera,2013,1869,1870,2012,2500,2547,2650,3138,2688,2665
Sant Genís dels Agudells,2051,2044,2140,2125,0,2799,2867,2889,2776,2470
Montbau,2051,2044,2140,2125,0,2799,2867,2889,2776,2470
la Vall d'Hebron,0,0,0,0,0,0,0,3293,0,0
la Clota,0,0,0,0,0,0,0,3293,0,0
Horta,2354,2255,2192,2453,2970,2945,3037,2953,2979,3045
Vilapicina i la Torre Llobeta,0,1971,2193,2480,2774,3086,2977,2953,2865,2987
Porta,0,2010,2174,2431,2705,2929,2941,2754,2908,2970
