Barrios,Year,Price_m2,Price
Can Baró,2013,0,0
Can Baró,2014,2368,2368
Can Baró,2015,2598,2598
Can Baró,2016,2755,2755
Can Baró,2017,2859,2859
Can Baró,2018,3005,3005
Can Baró,2019,3124,3124
Can Baró,2020,3339,3339
Can Baró,2021,3148,3148
Can Baró,2022,2913,2913
Can Peguera,2013,0,0
Can Peguera,2014,1719,1719
Can Peguera,2015,1887,1887
Can Peguera,2016,2176,2176
Can Peguera,2017,0,0
Can Peguera,2018,0,0
Can Peguera,2019,2620,2620
Can Peguera,2020,2534,2534
Can Peguera,2021,2375,2375
Can Peguera,2022,2470,2470
Canyelles,2013,1733,1733
Canyelles,2014,1538,1538
Canyelles,2015,1529,1529
Canyelles,2016,1644,1644
Canyelles,2017,1885,1885
Canyelles,2018,2009,2009
Canyelles,2019,2176,2176
Canyelles,2020,2097,2097
Canyelles,2021,2085,2085
Canyelles,2022,1997,1997
Ciutat Meridiana,2013,1426,1426
Ciutat Meridiana,2014,1281,1281
Ciutat Meridiana,2015,1212,1212
Ciutat Meridiana,2016,1313,1313
Ciutat Meridiana,2017,1498,1498
Ciutat Meridiana,2018,0,0
Ciutat Meridiana,2019,1727,1727
Ciutat Meridiana,2020,1690,1690
Ciutat Meridiana,2021,1776,1776
Ciutat Meridiana,2022,1626,1626
Diagonal Mar i el Front Marítim del Poblenou,2013,4722,4722
Diagonal Mar i el Front Marítim del Poblenou,2014,5646,5646
Diagonal Mar i el Front Marítim del Poblenou,2015,6506,6506
Diagonal Mar i el Front Marítim del Poblenou,2016,5891,5891
Diagonal Mar i el Front Marítim del Poblenou,2017,6402,6402
Diagonal Mar i el Front Marítim del Poblenou,2018,6836,6836
Diagonal Mar i el Front Marítim del Poblenou,2019,6892,6892
Diagonal Mar i el Front Marítim del Poblenou,2020,6237,6237
Diagonal Mar i el Front Marítim del Poblenou,2021,6400,6400
Diagonal Mar i el Front Marítim del Poblenou,2022,7524,7524
Horta,2013,2354,2354
Horta,2014,2255,2255
Horta,2015,2192,2192
Horta,2016,2453,2453
Horta,2017,2970,2970
Horta,2018,2945,2945
Horta,2019,3037,3037
Horta,2020,2953,2953
Horta,2021,2979,2979
Horta,2022,3045,3045
Hostafrancs,2013,0,0
Hostafrancs,2014,2719,2719
Hostafrancs,2015,2742,2742
Hostafrancs,2016,2970,2970
Hostafrancs,2017,3912,3912
Hostafrancs,2018,3398,3398
Hostafrancs,2019,3915,3915
Hostafrancs,2020,3467,3467
Hostafrancs,2021,3493,3493
Hostafrancs,2022,3391,3391
Montbau,2013,2051,2051
Montbau,2014,2044,2044
