Barrios,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
El raval,2614,2404,2775,3251,4029,4034,4591,3587,3409,3374
El barri gotic,3811,3791,4236,4813,4884,4660,3811,4717,4351,5186
La barceloneta,4212,4168,4043,4683,5165,4815,4849,4763,4672,4732
"Sant pere, santa caterina i la ribera",3534,3682,3827,4501,5152,4689,4772,4837,4778,4705
El fort pienc,3038,3022,3228,4012,4107,4500,4250,4091,4428,4644
La sagrada fami­lia,3029,2959,3157,3746,4209,4202,4173,4088,4060,4279
La dreta de l'eixample,4296,4528,4961,5949,6332,6128,5514,5395,5666,6267
L'antiga esquerra de l'eixample,3521,3551,3999,4747,5091,5081,5197,5190,5234,5361
La nova esquerra de l'eixample,3158,3292,3340,4085,4465,4797,4634,4312,4238,4389
Sant antoni,2926,3000,3369,3817,4591,4530,4412,4219,4170,4231
El poble sec-aei parc montjuic,2495,2518,2815,2771,3936,4083,3911,3716,3670,3599
La marina del prat vermell-aei zona franca,0,0,0,0,0,0,0,0,0,0
La marina de port,2152,2080,2174,2348,2723,2879,2819,2861,2588,2778
La font de la guatlla,0,2580,2582,0,3510,3457,3893,3856,3281,3673
Hostafrancs,0,2719,2742,2970,3912,3398,3915,3467,3493,3391
La bordeta,0,2323,2361,2829,3171,3153,3114,3128,3255,3271
Sants-badal,2575,2392,2607,3127,3469,3429,3183,3239,3265,3361
Sants,2633,2511,2816,3181,3666,3556,3642,3705,3621,3687
Les corts,3597,3712,3825,4469,4821,4650,4469,4654,4563,4690
La maternitat i sant ramon,3362,3296,3281,3875,4339,4057,4043,3918,3881,4305
Pedralbes,4914,5185,5436,5689,6340,6306,6197,6460,5976,6406
"Vallvidrera, el tibidabo i les planes",0,0,0,0,0,0,3531,3579,4263,3888
Sarriá,4384,4472,4704,5824,6042,5983,5743,5558,5645,5925
Les tres torres,4509,4742,5145,4956,5689,5607,6460,5749,6024,5882
Sant gervasi-la bonanova,3866,3883,4235,4926,5029,5424,5319,5115,5428,5364
Sant gervasi-galvany,3899,4188,4484,4797,5306,5524,5560,5326,5371,5498
El putxet i el farro,3298,3256,3465,3956,4289,4505,4541,4532,4344,4493
Vallcarca i els penitents,3109,2969,2862,3363,3541,3904,3609,3845,4096,4212
El coll,0,2317,2252,2624,0,0,3236,3420,2881,2864
La salut,2890,2682,2825,3204,3561,3973,4021,3547,3885,4233
La vila de gracia,3264,3308,3655,4170,4426,4791,4526,4343,4494,4882
El camp d'en grassot i gracia nova,3145,3068,3219,3759,4391,4376,4133,4399,4149,4390
El baix guinardo,2608,2521,2841,3087,3493,3574,3798,3611,3867,4008
Can baro,0,2368,2598,2755,2859,3005,3124,3339,3148,2913
El guinardo,2474,2476,2506,2587,3164,3468,3278,3304,3204,3324
La font d'en fargues,0,2460,0,2652,3206,0,3236,3705,3370,3536
El carmel,1730,1732,1693,2077,2242,2382,2768,2532,2448,2495
La teixonera,2013,1869,1870,2012,2500,2547,2650,3138,2688,2665
Sant genis dels agudells,2051,2044,2140,2125,0,2799,2867,2889,2776,2470
Montbau,2051,2044,2140,2125,0,2799,2867,2889,2776,2470
La vall d'hebron,0,0,0,0,0,0,0,3293,0,0
La clota,0,0,0,0,0,0,0,3293,0,0
Horta,2354,2255,2192,2453,2970,2945,3037,2953,2979,3045
Vilapicina i la torre llobeta,0,1971,2193,2480,2774,3086,2977,2953,2865,2987
Porta,0,2010,2174,2431,2705,2929,2941,2754,2908,2970
El turo de la peira,0,1719,1887,2176,0,0,2620,2534,2375,2470
Can peguera,0,1719,1887,2176,0,0,2620,2534,2375,2470
La guineueta,0,0,0,0,0,0,2681,2498,2778,2982
Canyelles,1733,1538,1529,1644,1885,2009,2176,2097,2085,1997
Les roquetes,1733,1538,1529,1644,1885,2009,2176,2097,2085,1997
Verdun,0,1971,1710,1853,2331,2420,2407,2503,2319,2502
La prosperitat,2001,1910,1861,1940,2213,2489,2684,2446,2385,2474
La trinitat nova,0,0,0,0,0,0,2275,2200,2105,2147
Torre baro,1426,1281,1212,1313,1498,0,1727,1690,1776,1626
Ciutat meridiana,1426,1281,1212,1313,1498,0,1727,1690,1776,1626
Vallbona,1426,1281,1212,1313,1498,0,1727,1690,1776,1626
La trinitat vella,1612,1557,1394,1438,1776,1764,1926,1809,1763,1974
Baro de viver,0,0,0,0,0,0,0,0,0,0
El bon pastor,0,1879,0,1827,0,2339,2414,2380,2300,2235
Sant andreu,2330,2379,2391,2757,3210,3206,3317,3161,3294,3371
La sagrera,2423,2218,2498,2696,3296,3263,3286,3250,3173,3519
El congres i els indians,0,0,2216,2473,0,2828,3272,3271,3007,3274
Navas,0,2362,2401,2720,3029,3279,3560,3503,3424,3377
El camp de l'arpa del clot,2482,2602,2619,3159,3561,3654,3605,3555,3741,3725
El clot,2509,2246,2505,3144,3524,3803,3822,3767,3645,3644
El parc i la llacuna del poblenou,0,2779,2956,3761,4076,4254,4287,4567,4268,4541
La vila oli­mpica del poblenou,0,4795,4728,5365,5402,5321,5019,5267,5228,5226
El poblenou,3446,3304,3606,4223,4324,4428,4583,4557,4469,4780
Diagonal mar i el front mari­tim del poblenou,4722,5646,6506,5891,6402,6836,6892,6237,6400,7524
El besos i el maresme,0,2002,1951,2222,2786,2822,2759,2547,2368,2184
Provençals del poblenou,0,3069,3397,3310,3194,3362,3407,2994,3122,3319
Sant marti de provençals,0,0,2273,2547,2759,2926,3022,2867,2864,2975
La verneda i la pau,0,1983,2023,2281,2443,2672,2561,2389,2321,2606
