ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id39749000000678,Piso  en  El Clot. Piso para reformar,208000,2,1,82,2537,FLAT,SECOND_HAND,Barcelona,El Clot,https://www.habitaclia.com/comprar-piso-para_reformar_el_clot-barcelona-i39749000000678.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Finca modernista del año 1905  Dispone de una superficie de 82 m² distribuidos en salón-comedor, 2 habitaciones, 1 est...",2023-06-20
id30028000229854,Piso  en  La Nova Esquerra de l´Eixample. Piso en venta en barcelona (barcelona) calabria,240900,1,1,85,2834,FLAT,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-en_venta_en_calabria_la_nova_esquerra_de_l_eixample-barcelona-i30028000229854.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Apartamento con 1 dormitorio, 1 baño y terraza, en pleno Ensanche de la ciudad, junto a la parada de metro de Entença y...",2023-06-20
id16073003339007,Piso  en  L´Antiga Esquerra de l´Eixample,556000,6,2,138,4029,FLAT,SECOND_HAND,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-l_antiga_esquerra_de_l_eixample-barcelona-i16073003339007.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,Tenemos el placer de presentarles en este anuncio una PROPUESTA DE REFORMA Y DECORACIÓN de la vivienda anunciada.  Den...,2023-06-20
id35728004481583,"Piso  Ronda sant pau. 5 habit. soleado, ascensor",500000,5,2,130,3846,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-5_habit_soleado_ascensor_raval-barcelona-i35728004481583.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso con doble orientación, 5 habitaciones 4 dobles y una individual, dos baños completos, un aseo, lavadero, salón come...",2023-06-20
id12206004427204,Piso  Carrer riereta. Piso con 2 habitaciones,137000,2,1,45,3044,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_raval-barcelona-i12206004427204.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Cómodo piso en Barcelona, ideal para parejas. El inmueble dispone de una superficie de 45 m² construidos distribuidos en...",2023-06-20
id20418004351592,Piso  Carrer d´enric casanovas. Piso en venta en la prosperitat,134000,2,1,65,2062,FLAT,SECOND_HAND,Barcelona,Prosperitat,https://www.habitaclia.com/comprar-piso-en_venta_en_la_prosperitat_prosperitat-barcelona-i20418004351592.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso en Barcelona, ideal para familias.  El inmueble cuenta con una superficie de 65 m² distribuidos en dos habitacione...",2023-06-20
id44866000000313,Piso  De casals i cuberó. Piso venta barcelona,163000,1,1,73,2233,FLAT,SECOND_HAND,Barcelona,Verdum,https://www.habitaclia.com/comprar-piso-venta_verdum-barcelona-i44866000000313.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso dúplex en venta en la planta baja de un edificio residencial del centro de Barcelona ciudad (Barcelona). Se distrib...,2023-06-20
id11885003494024,Piso  Carrer arago. Alto con 4 habitaciones,469000,4,2,110,4264,FLAT,SECOND_HAND,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-alto_con_4_habitaciones_l_antiga_esquerra_de_l_eixample-barcelona-i11885003494024.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Se vende amplio piso en la calle Aragón, en una planta alta con balcón.  Su situación es fantástica y céntrica, a pocos...",2023-06-20
id5194004492910,Piso  Córcega. Piso finca regia cuidada,590000,3,1,98,6020,FLAT,SECOND_HAND,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-finca_regia_cuidada_l_antiga_esquerra_de_l_eixample-barcelona-i5194004492910.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso luminoso en finca Regia muy soleado, en situación de privilegio zona alta Eixample izquierdo. Vivienda de 96 m2 6ª...",2023-06-20
id30028000226663,Piso  en  Roquetes. Piso en venta en barcelona (barcelona) argasola,140000,1,1,70,2000,FLAT,SECOND_HAND,Barcelona,Roquetes,https://www.habitaclia.com/comprar-piso-en_venta_en_argasola_roquetes-barcelona-i30028000226663.htm?pag=1100&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Referencia:Piso de 70 m² en venta de 3 dormitorios, situado en Barcelona. La vivienda está bien comunicad...",2023-06-20
