ID,Address,Price €,Rooms,Size m2,Floor,Lift,Links,Date_Scraped,Price_m2,Type,Neighborhood,City
96311583,"Piso en calle de Manila, Pedralbes, Barcelona",895000,3,127,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/96311583/,2023-06-11 19:40:00.279767,7047.24,Piso,Pedralbes,Barcelona
100360735,"Piso en calle de Manila, Pedralbes, Barcelona",1150000,4,140,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100360735/,2023-06-11 19:40:00.279767,8214.29,Piso,Pedralbes,Barcelona
97710982,"Piso en Pedralbes, Barcelona",1950000,4,377,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/97710982/,2023-06-11 19:40:00.279767,5172.41,Piso,Pedralbes,Barcelona
100866113,"Piso en avenida de Sarrià, Les Corts, Barcelona",795000,5,154,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/100866113/,2023-06-11 19:40:00.279767,5162.34,Piso,Les Corts,Barcelona
96169020,"Casa o chalet independiente en Pedralbes, Barcelona",3790000,5,490,N/A,N/A,https://www.idealista.com/inmueble/96169020/,2023-06-11 19:40:00.279767,7734.69,Casa o chalet independiente,Pedralbes,Barcelona
100397421,"Chalet adosado en calle dels Cavallers, Pedralbes, Barcelona",4950000,6,723,N/A,N/A,https://www.idealista.com/inmueble/100397421/,2023-06-11 19:40:00.279767,6846.47,Chalet adosado,Pedralbes,Barcelona
100190468,"Piso en calle de l'Abadessa Olzet, Pedralbes, Barcelona",1290000,4,160,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100190468/,2023-06-11 19:40:00.279767,8062.5,Piso,Pedralbes,Barcelona
99303429,"Piso en avenida de Pedralbes, Pedralbes, Barcelona",1480000,5,250,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/99303429/,2023-06-11 19:40:00.279767,5920.0,Piso,Pedralbes,Barcelona
101475340,"Ático en calle de Nicaragua, Les Corts, Barcelona",1395000,2,185,Planta 5 exterior,Con ascensor,https://www.idealista.com/inmueble/101475340/,2023-06-11 19:40:00.279767,7540.54,Ático,Les Corts,Barcelona
99288677,"Piso en calle d'Entença, Les Corts, Barcelona",825000,4,156,exterior,Con ascensor,https://www.idealista.com/inmueble/99288677/,2023-06-11 19:40:00.279767,5288.46,Piso,Les Corts,Barcelona
100638434,"Piso en calle del Vallespir, Les Corts, Barcelona",580000,3,114,Bajo exterior,Sin ascensor,https://www.idealista.com/inmueble/100638434/,2023-06-11 19:40:00.279767,5087.72,Piso,Les Corts,Barcelona
98269404,"Piso en avenida de Pedralbes, Pedralbes, Barcelona",1950000,4,408,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/98269404/,2023-06-11 19:40:00.279767,4779.41,Piso,Pedralbes,Barcelona
101283953,"Piso en calle de Guitard, Les Corts, Barcelona",420000,3,89,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/101283953/,2023-06-11 19:40:00.279767,4719.1,Piso,Les Corts,Barcelona
98273239,"Piso en calle de Sabino Arana, La Maternitat i Sant Ramon, Barcelona",980000,3,151,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/98273239/,2023-06-11 19:40:00.279767,6490.07,Piso,La Maternitat i Sant Ramon,Barcelona
98269475,"Piso en plaza d'Eusebi Güell, Pedralbes, Barcelona",1800000,4,292,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/98269475/,2023-06-11 19:40:00.279767,6164.38,Piso,Pedralbes,Barcelona
100633139,"Ático en Les Corts, Barcelona",3650000,5,461,Planta 8 exterior,Con ascensor,https://www.idealista.com/inmueble/100633139/,2023-06-11 19:40:00.279767,7917.57,Ático,Les Corts,Barcelona
