ID,Address,Price €,Rooms,Size m2,Floor,Lift,Links,Date_Scraped,Price_m2,Type,Neighborhood,City
101521020,"Piso en paseo de Torras i Bages, Sant Andreu, Barcelona",259000,4,76,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/101521020/,2023-06-12 17:35:40.902399,3407.89,Piso,Sant Andreu,Barcelona
101535348,"Piso en calle de Sant Antoni Maria Claret, Navas, Barcelona",280000,3,82,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/101535348/,2023-06-12 17:35:40.902399,3414.63,Piso,Navas,Barcelona
101428389,"Piso en avenida Meridiana, Sant Andreu, Barcelona",298000,4,114,Planta 5 exterior,Con ascensor,https://www.idealista.com/inmueble/101428389/,2023-06-12 17:35:40.902399,2614.04,Piso,Sant Andreu,Barcelona
98588176,"Ático en Tossal, La Trinitat Vella, Barcelona",315000,3,103,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/98588176/,2023-06-12 17:35:40.902399,3058.25,Ático,La Trinitat Vella,Barcelona
99982692,"Piso en calle de l'Almirall Pròixida, Sant Andreu, Barcelona",195000,3,70,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/99982692/,2023-06-12 17:35:40.902399,2785.71,Piso,Sant Andreu,Barcelona
101615105,"Piso en calle de Ramon Albó, El Congrés i els Indians, Barcelona",300000,3,90,Planta 4,Con ascensor,https://www.idealista.com/inmueble/101615105/,2023-06-12 17:35:40.902399,3333.33,Piso,El Congrés i els Indians,Barcelona
101203688,"Piso en calle de Biscaia, Navas, Barcelona",229000,3,60,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/101203688/,2023-06-12 17:35:40.902399,3816.67,Piso,Navas,Barcelona
101470030,"Piso en La Trinitat Vella, Barcelona",329900,3,117,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/101470030/,2023-06-12 17:35:40.902399,2819.66,Piso,La Trinitat Vella,Barcelona
101163370,"Piso en calle de Ramon Albó, El Congrés i els Indians, Barcelona",300000,3,90,Planta 4,Con ascensor,https://www.idealista.com/inmueble/101163370/,2023-06-12 17:35:40.902399,3333.33,Piso,El Congrés i els Indians,Barcelona
101528403,"Piso en calle de Joan Comorera, Sant Andreu, Barcelona",349990,2,93,Bajo exterior,Con ascensor,https://www.idealista.com/inmueble/101528403/,2023-06-12 17:35:40.902399,3763.33,Piso,Sant Andreu,Barcelona
