ID,Address,Price €,Rooms,Size m2,Floor,Lift,Links,Date_Scraped,Price_m2,Type,Neighborhood,City
100973290,"Ático en paseo del Taulat, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",2500000,2,145,Planta 21 exterior,Con ascensor,https://www.idealista.com/inmueble/100973290/,2023-06-12 17:37:44.043107,17241.38,Ático,Diagonal Mar i el Front Marítim del Poblenou,Barcelona
97362092,"Piso en paseo de Garcia Fària, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1730000,4,169,Planta 5 exterior,Con ascensor,https://www.idealista.com/inmueble/97362092/,2023-06-12 17:37:44.043107,10236.69,Piso,Diagonal Mar i el Front Marítim del Poblenou,Barcelona
100621063,"Piso en paseo de Garcia Fària, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1990000,3,180,Planta 18 exterior,Con ascensor,https://www.idealista.com/inmueble/100621063/,2023-06-12 17:37:44.043107,11055.56,Piso,Diagonal Mar i el Front Marítim del Poblenou,Barcelona
101368744,"Piso en La Vila Olímpica del Poblenou, Barcelona",795000,4,126,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/101368744/,2023-06-12 17:37:44.043107,6309.52,Piso,La Vila Olímpica del Poblenou,Barcelona
88318137,"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1695000,3,100,Planta 17 exterior,Con ascensor,https://www.idealista.com/inmueble/88318137/,2023-06-12 17:37:44.043107,16950.0,Piso,Diagonal Mar i el Front Marítim del Poblenou,Barcelona
89745843,"Ático en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",2500000,2,175,Planta 22 exterior,Con ascensor,https://www.idealista.com/inmueble/89745843/,2023-06-12 17:37:44.043107,14285.71,Ático,Diagonal Mar i el Front Marítim del Poblenou,Barcelona
100127430,"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1350000,3,140,Planta 21 exterior,Con ascensor,https://www.idealista.com/inmueble/100127430/,2023-06-12 17:37:44.043107,9642.86,Piso,Diagonal Mar i el Front Marítim del Poblenou,Barcelona
100785780,"Piso en calle de Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona",795000,4,126,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/100785780/,2023-06-12 17:37:44.043107,6309.52,Piso,La Vila Olímpica del Poblenou,Barcelona
100494722,"Ático en calle de la Independencia, El Camp de l'Arpa del Clot, Barcelona",735000,4,141,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/100494722/,2023-06-12 17:37:44.043107,5212.77,Ático,El Camp de l'Arpa del Clot,Barcelona
100335872,"Piso en calle de Pujades, El Parc i la Llacuna del Poblenou, Barcelona",420000,3,94,Planta 4 interior,Con ascensor,https://www.idealista.com/inmueble/100335872/,2023-06-12 17:37:44.043107,4468.09,Piso,El Parc i la Llacuna del Poblenou,Barcelona
100645681,"Piso en calle de Sant Antoni Maria Claret, El Camp de l'Arpa del Clot, Barcelona",330000,3,85,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100645681/,2023-06-12 17:37:44.043107,3882.35,Piso,El Camp de l'Arpa del Clot,Barcelona
89809999,"Piso en El Poblenou, Barcelona",1900000,2,152,Planta 14 exterior,Con ascensor,https://www.idealista.com/inmueble/89809999/,2023-06-12 17:37:44.043107,12500.0,Piso,El Poblenou,Barcelona
