ID,Address,Price €,Rooms,Size m2,Floor,Lift,Links,Date_Scraped,Price_m2,Type,Neighborhood,City
101140127,"Piso en camino de Sant Cugat, Vallvidrera - El Tibidabo i les Planes, Barcelona",520000,3,147,Planta 1 exterior,Sin ascensor,https://www.idealista.com/inmueble/101140127/,2023-06-12 17:48:08.861977,3537.41,Piso,Vallvidrera - El Tibidabo i les Planes,Barcelona
100596259,"Chalet adosado en carretera de Vallvidrera al Tibidabo, Vallvidrera - El Tibidabo i les Planes, Barcelona",1975000,6,413,N/A,N/A,https://www.idealista.com/inmueble/100596259/,2023-06-12 17:48:08.861977,4782.08,Chalet adosado,Vallvidrera - El Tibidabo i les Planes,Barcelona
98792554,"Ático en ronda del General Mitre, Sant Gervasi - La Bonanova, Barcelona",1490000,5,263,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/98792554/,2023-06-12 17:48:08.861977,5665.4,Ático,Sant Gervasi - La Bonanova,Barcelona
101500269,"Piso en Sant Gervasi - Galvany, Barcelona",560000,3,102,Planta 5 exterior,Con ascensor,https://www.idealista.com/inmueble/101500269/,2023-06-12 17:48:08.861977,5490.2,Piso,Sant Gervasi - Galvany,Barcelona
100924489,"Piso en calle de Gaziel, Sant Gervasi - La Bonanova, Barcelona",1330000,3,141,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100924489/,2023-06-12 17:48:08.861977,9432.62,Piso,Sant Gervasi - La Bonanova,Barcelona
100814756,"Piso en calle d'Atenes, Sant Gervasi - Galvany, Barcelona",410000,3,64,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100814756/,2023-06-12 17:48:08.861977,6406.25,Piso,Sant Gervasi - Galvany,Barcelona
101265404,"Piso en calle de Saragossa, El Putxet i el Farró, Barcelona",550000,3,122,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/101265404/,2023-06-12 17:48:08.861977,4508.2,Piso,El Putxet i el Farró,Barcelona
100979775,"Piso en calle de Tavern, Sant Gervasi - Galvany, Barcelona",610000,4,137,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100979775/,2023-06-12 17:48:08.861977,4452.55,Piso,Sant Gervasi - Galvany,Barcelona
97926061,"Ático en calle de Sant Eusebi, Sant Gervasi - Galvany, Barcelona",695000,4,160,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/97926061/,2023-06-12 17:48:08.861977,4343.75,Ático,Sant Gervasi - Galvany,Barcelona
101355716,"Piso en calle de Balmes, Sant Gervasi - Galvany, Barcelona",795000,5,180,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/101355716/,2023-06-12 17:48:08.861977,4416.67,Piso,Sant Gervasi - Galvany,Barcelona
100808729,"Ático en calle de Muntaner, Sant Gervasi - Galvany, Barcelona",1295000,5,239,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100808729/,2023-06-12 17:48:08.861977,5418.41,Ático,Sant Gervasi - Galvany,Barcelona
101159733,"Piso en calle de Guillem Tell, El Putxet i el Farró, Barcelona",598250,2,166,Bajo exterior,Con ascensor,https://www.idealista.com/inmueble/101159733/,2023-06-12 17:48:08.861977,3603.92,Piso,El Putxet i el Farró,Barcelona
100799095,"Ático en calle de l'Abat Samsó, Sarrià, Barcelona",850000,3,140,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100799095/,2023-06-12 17:48:08.861977,6071.43,Ático,Sarrià,Barcelona
101026155,"Casa o chalet independiente en calle Maria Reina, Sarrià, Barcelona",1699000,4,404,N/A,N/A,https://www.idealista.com/inmueble/101026155/,2023-06-12 17:48:08.861977,4205.45,Casa o chalet independiente,Sarrià,Barcelona
99843201,"Piso en Sant Gervasi - La Bonanova, Barcelona",1330000,3,141,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/99843201/,2023-06-12 17:48:08.861977,9432.62,Piso,Sant Gervasi - La Bonanova,Barcelona
99205018,"Piso en calle de la Emancipación, Les Tres Torres, Barcelona",1880000,6,372,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/99205018/,2023-06-12 17:48:08.861977,5053.76,Piso,Les Tres Torres,Barcelona
98270160,"Casa o chalet independiente en Vallvidrera - El Tibidabo i les Planes, Barcelona",1750000,5,554,N/A,N/A,https://www.idealista.com/inmueble/98270160/,2023-06-12 17:48:08.861977,3158.84,Casa o chalet independiente,Vallvidrera - El Tibidabo i les Planes,Barcelona
99580455,"Ático en calle de Ganduxer, Sant Gervasi - Galvany, Barcelona",1600000,5,258,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/99580455/,2023-06-12 17:48:08.861977,6201.55,Ático,Sant Gervasi - Galvany,Barcelona
100617027,"Piso en calle del Mestre Nicolau, Sant Gervasi - Galvany, Barcelona",1880000,5,305,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100617027/,2023-06-12 17:48:08.861977,6163.93,Piso,Sant Gervasi - Galvany,Barcelona
99621181,"Piso en Negrevernis, Sarrià, Barcelona",775000,3,145,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/99621181/,2023-06-12 17:48:08.861977,5344.83,Piso,Sarrià,Barcelona
99415206,"Piso en calle de Muntaner, Sant Gervasi - La Bonanova, Barcelona",1275000,5,240,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/99415206/,2023-06-12 17:48:08.861977,5312.5,Piso,Sant Gervasi - La Bonanova,Barcelona
99483405,"Dúplex en calle de Pàdua, El Putxet i el Farró, Barcelona",1125000,4,220,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/99483405/,2023-06-12 17:48:08.861977,5113.64,Dúplex,El Putxet i el Farró,Barcelona
99293872,"Casa o chalet independiente en camino de lliça, Sarrià, Barcelona",2100000,5,486,N/A,N/A,https://www.idealista.com/inmueble/99293872/,2023-06-12 17:48:08.861977,4320.99,Casa o chalet independiente,Sarrià,Barcelona
100285900,"Piso en calle de Muntaner, Sant Gervasi - Galvany, Barcelona",980000,5,195,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100285900/,2023-06-12 17:48:08.861977,5025.64,Piso,Sant Gervasi - Galvany,Barcelona
100839385,"Piso en calle de Guillem Tell, El Putxet i el Farró, Barcelona",734000,3,120,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/100839385/,2023-06-12 17:48:08.861977,6116.67,Piso,El Putxet i el Farró,Barcelona
99803688,"Piso en Sarrià, Barcelona",840000,5,125,Planta 1,Con ascensor,https://www.idealista.com/inmueble/99803688/,2023-06-12 17:48:08.861977,6720.0,Piso,Sarrià,Barcelona
100796897,"Piso en Les Tres Torres, Barcelona",1550000,5,281,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100796897/,2023-06-12 17:48:08.861977,5516.01,Piso,Les Tres Torres,Barcelona
100720081,"Piso en Les Tres Torres, Barcelona",879000,5,160,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100720081/,2023-06-12 17:48:08.861977,5493.75,Piso,Les Tres Torres,Barcelona
101688974,"Piso en Sant Gervasi - Galvany, Barcelona",1050000,4,192,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/101688974/,2023-06-12 17:48:08.861977,5468.75,Piso,Sant Gervasi - Galvany,Barcelona
101663066,"Piso en calle de Calvet, Sant Gervasi - Galvany, Barcelona",1750000,5,292,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/101663066/,2023-06-12 17:48:08.861977,5993.15,Piso,Sant Gervasi - Galvany,Barcelona
