Barrios,Year,Price_m2
Can Baró,2013,2610.9
Can Baró,2014,2368.0
Can Baró,2015,2598.0
Can Baró,2016,2755.0
Can Baró,2017,2859.0
Can Baró,2018,3005.0
Can Baró,2019,3124.0
Can Baró,2020,3339.0
Can Baró,2021,3148.0
Can Baró,2022,2913.0
Can Baró,2023,3558.69
Can Baró,2024,3683.54
Can Baró,2025,3808.39
Can Peguera,2013,1578.1
Can Peguera,2014,1719.0
Can Peguera,2015,1887.0
Can Peguera,2016,2176.0
Can Peguera,2017,1578.1
Can Peguera,2018,1578.1
Can Peguera,2019,2620.0
Can Peguera,2020,2534.0
Can Peguera,2021,2375.0
Can Peguera,2022,2470.0
Can Peguera,2023,2680.79
Can Peguera,2024,2805.64
Can Peguera,2025,2930.49
Canyelles,2013,1733.0
Canyelles,2014,1538.0
Canyelles,2015,1529.0
Canyelles,2016,1644.0
Canyelles,2017,1885.0
Canyelles,2018,2009.0
Canyelles,2019,2176.0
Canyelles,2020,2097.0
Canyelles,2021,2085.0
Canyelles,2022,1997.0
Canyelles,2023,2621.76
Canyelles,2024,2746.61
Canyelles,2025,2871.46
Ciutat Meridiana,2013,1426.0
Ciutat Meridiana,2014,1281.0
Ciutat Meridiana,2015,1212.0
Ciutat Meridiana,2016,1313.0
Ciutat Meridiana,2017,1498.0
Ciutat Meridiana,2018,1354.9
Ciutat Meridiana,2019,1727.0
Ciutat Meridiana,2020,1690.0
Ciutat Meridiana,2021,1776.0
Ciutat Meridiana,2022,1626.0
Ciutat Meridiana,2023,2224.19
Ciutat Meridiana,2024,2349.04
Ciutat Meridiana,2025,2473.89
Diagonal Mar i el Front Marítim del Poblenou,2013,4722.0
Diagonal Mar i el Front Marítim del Poblenou,2014,5646.0
Diagonal Mar i el Front Marítim del Poblenou,2015,6506.0
Diagonal Mar i el Front Marítim del Poblenou,2016,5891.0
Diagonal Mar i el Front Marítim del Poblenou,2017,6402.0
Diagonal Mar i el Front Marítim del Poblenou,2018,6836.0
Diagonal Mar i el Front Marítim del Poblenou,2019,6892.0
Diagonal Mar i el Front Marítim del Poblenou,2020,6237.0
Diagonal Mar i el Front Marítim del Poblenou,2021,6400.0
Diagonal Mar i el Front Marítim del Poblenou,2022,7524.0
Diagonal Mar i el Front Marítim del Poblenou,2023,6890.35
Diagonal Mar i el Front Marítim del Poblenou,2024,7015.2
Diagonal Mar i el Front Marítim del Poblenou,2025,7140.05
Horta,2013,2354.0
Horta,2014,2255.0
Horta,2015,2192.0
Horta,2016,2453.0
Horta,2017,2970.0
Horta,2018,2945.0
Horta,2019,3037.0
Horta,2020,2953.0
Horta,2021,2979.0
Horta,2022,3045.0
Horta,2023,3341.04
Horta,2024,3465.89
Horta,2025,3590.74
Hostafrancs,2013,3000.7
Hostafrancs,2014,2719.0
Hostafrancs,2015,2742.0
Hostafrancs,2016,2970.0
Hostafrancs,2017,3912.0
Hostafrancs,2018,3398.0
Hostafrancs,2019,3915.0
Hostafrancs,2020,3467.0
Hostafrancs,2021,3493.0
Hostafrancs,2022,3391.0
Hostafrancs,2023,4070.65
Hostafrancs,2024,4195.5
Hostafrancs,2025,4320.35
Montbau,2013,2051.0
Montbau,2014,2044.0
Montbau,2015,2140.0
Montbau,2016,2125.0
Montbau,2017,2216.1
Montbau,2018,2799.0
Montbau,2019,2867.0
Montbau,2020,2889.0
Montbau,2021,2776.0
Montbau,2022,2470.0
Montbau,2023,3142.09
Montbau,2024,3266.94
Montbau,2025,3391.79
Navas,2013,2765.5
Navas,2014,2362.0
Navas,2015,2401.0
Navas,2016,2720.0
Navas,2017,3029.0
Navas,2018,3279.0
Navas,2019,3560.0
Navas,2020,3503.0
Navas,2021,3424.0
Navas,2022,3377.0
Navas,2023,3735.28
Navas,2024,3860.13
Navas,2025,3984.98
Pedralbes,2013,4914.0
Pedralbes,2014,5185.0
Pedralbes,2015,5436.0
Pedralbes,2016,5689.0
Pedralbes,2017,6340.0
Pedralbes,2018,6306.0
Pedralbes,2019,6197.0
Pedralbes,2020,6460.0
Pedralbes,2021,5976.0
Pedralbes,2022,6406.0
Pedralbes,2023,6663.09
Pedralbes,2024,6787.94
Pedralbes,2025,6912.79
Porta,2013,2382.2
Porta,2014,2010.0
Porta,2015,2174.0
Porta,2016,2431.0
Porta,2017,2705.0
Porta,2018,2929.0
Porta,2019,2941.0
Porta,2020,2754.0
Porta,2021,2908.0
Porta,2022,2970.0
Porta,2023,3220.82
Porta,2024,3345.67
Porta,2025,3470.52
Provençals del Poblenou,2013,2917.4
Provençals del Poblenou,2014,3069.0
Provençals del Poblenou,2015,3397.0
Provençals del Poblenou,2016,3310.0
Provençals del Poblenou,2017,3194.0
Provençals del Poblenou,2018,3362.0
Provençals del Poblenou,2019,3407.0
Provençals del Poblenou,2020,2994.0
Provençals del Poblenou,2021,3122.0
Provençals del Poblenou,2022,3319.0
Provençals del Poblenou,2023,3740.83
Provençals del Poblenou,2024,3865.68
