Date,Euribor,Year,Month
1999-01-01,3.062,1999,1
1999-02-01,3.03,1999,2
1999-03-01,3.046,1999,3
1999-04-01,2.756,1999,4
1999-05-01,2.683,1999,5
1999-06-01,2.836,1999,6
1999-07-01,3.03,1999,7
1999-08-01,3.237,1999,8
1999-09-01,3.301,1999,9
1999-10-01,3.684,1999,10
1999-11-01,3.689,1999,11
1999-12-01,3.826,1999,12
2000-01-01,3.95,2000,1
2000-02-01,4.111,2000,2
2000-03-01,4.268,2000,3
2000-04-01,4.365,2000,4
2000-05-01,4.849,2000,5
2000-06-01,4.965,2000,6
2000-07-01,5.105,2000,7
2000-08-01,5.248,2000,8
2000-09-01,5.219,2000,9
2000-10-01,5.218,2000,10
2000-11-01,5.193,2000,11
2000-12-01,4.881,2000,12
2001-01-01,4.574,2001,1
2001-02-01,4.591,2001,2
2001-03-01,4.471,2001,3
2001-04-01,4.481,2001,4
2001-05-01,4.521,2001,5
2001-06-01,4.313,2001,6
2001-07-01,4.311,2001,7
2001-08-01,4.108,2001,8
2001-09-01,3.77,2001,9
2001-10-01,3.369,2001,10
2001-11-01,3.198,2001,11
2001-12-01,3.298,2001,12
2002-01-01,3.483,2002,1
2002-02-01,3.594,2002,2
2002-03-01,3.816,2002,3
2002-04-01,3.86,2002,4
2002-05-01,3.963,2002,5
2002-06-01,3.869,2002,6
2002-07-01,3.645,2002,7
2002-08-01,3.44,2002,8
2002-09-01,3.236,2002,9
2002-10-01,3.126,2002,10
2002-11-01,3.017,2002,11
2002-12-01,2.872,2002,12
2003-01-01,2.705,2003,1
2003-02-01,2.504,2003,2
2003-03-01,2.411,2003,3
2003-04-01,2.447,2003,4
2003-05-01,2.252,2003,5
2003-06-01,2.014,2003,6
2003-07-01,2.076,2003,7
2003-08-01,2.279,2003,8
2003-09-01,2.258,2003,9
2003-10-01,2.303,2003,10
2003-11-01,2.41,2003,11
2003-12-01,2.381,2003,12
2004-01-01,2.216,2004,1
2004-02-01,2.163,2004,2
2004-03-01,2.055,2004,3
2004-04-01,2.163,2004,4
2004-05-01,2.297,2004,5
2004-06-01,2.404,2004,6
2004-07-01,2.361,2004,7
2004-08-01,2.302,2004,8
2004-09-01,2.377,2004,9
2004-10-01,2.316,2004,10
2004-11-01,2.328,2004,11
2004-12-01,2.301,2004,12
2005-01-01,2.312,2005,1
2005-02-01,2.31,2005,2
2005-03-01,2.335,2005,3
2005-04-01,2.265,2005,4
2005-05-01,2.193,2005,5
2005-06-01,2.103,2005,6
2005-07-01,2.168,2005,7
2005-08-01,2.223,2005,8
2005-09-01,2.22,2005,9
2005-10-01,2.414,2005,10
